City_ID,City,Cloudiness,Country,Date,Humidity (%),Lat,Lng,Temperature (F),Windspeed (mph)
0,punta arenas,75,CL,1540760400,66,-53.16,-70.91,51.8,9.17
1,lagoa,0,PT,1540760400,54,37.14,-8.45,53.6,9.17
2,albany,90,US,1540761120,70,42.65,-73.75,48.2,4.7
3,queanbeyan,90,AU,1540760400,71,-35.35,149.23,51.8,9.17
4,hermanus,56,ZA,1540762336,64,-34.42,19.24,67.05,2.82
5,tetiyiv,0,UA,1540762337,84,49.38,29.66,51.07,7.74
6,bandundu,48,CD,1540762337,89,-3.32,17.38,76.9,4.61
7,kemi,0,FI,1540759800,85,65.74,24.56,10.4,2.37
8,saskylakh,64,RU,1540762337,83,71.97,114.09,25.96,10.42
9,narsaq,48,GL,1540759800,58,60.91,-46.05,28.4,4.7
10,paamiut,48,GL,1540762338,98,61.99,-49.67,36.94,37.16
11,kahului,20,US,1540760160,58,20.89,-156.47,87.8,13.87
12,avarua,90,CK,1540760400,88,-21.21,-159.78,71.6,20.8
13,busselton,76,AU,1540762338,100,-33.64,115.35,59.44,12.88
14,zaltan,36,LY,1540762339,70,32.95,11.87,74.83,9.98
15,carnarvon,0,ZA,1540762339,16,-30.97,22.13,70.33,7.74
16,umm lajj,32,SA,1540762270,100,25.02,37.27,74.25,11.99
17,rikitea,88,PF,1540762339,100,-23.12,-134.97,70.47,12.66
18,bredasdorp,80,ZA,1540760400,88,-34.53,20.04,64.4,3.36
19,talnakh,76,RU,1540762340,90,69.49,88.39,19.93,6.73
20,kieta,8,PG,1540762340,100,-6.22,155.63,79.69,2.71
21,fort nelson,90,CA,1540760400,64,58.81,-122.69,33.8,3.36
22,mataura,44,NZ,1540762341,94,-46.19,168.86,50.8,4.72
23,iracoubo,88,GF,1540762341,79,5.48,-53.21,81.27,4.38
24,mount gambier,0,AU,1540762291,84,-37.83,140.78,43.96,2.71
25,barrow,48,AR,1540762335,92,-38.31,-60.23,67.68,12.21
26,port elizabeth,90,US,1540760160,71,39.31,-74.98,55.4,9.17
27,kaeo,64,NZ,1540762342,86,-35.1,173.78,57.73,19.71
28,provideniya,90,RU,1540760400,86,64.42,-173.23,26.6,11.18
29,butaritari,56,KI,1540762342,100,3.07,172.79,85.5,11.77
30,atuona,48,PF,1540762343,100,-9.8,-139.03,80.1,12.55
31,tura,56,IN,1540762343,96,25.52,90.21,66.87,2.26
32,saint george,20,GR,1540759800,87,39.45,22.34,57.2,2.37
33,verkhoyansk,64,RU,1540762343,86,67.55,133.39,22.68,8.08
34,kodiak,1,US,1540759980,24,39.95,-94.76,66.2,19.46
35,yulara,0,AU,1540760400,82,-25.24,130.99,66.2,3.36
36,santa ana,75,SV,1540759800,59,13.99,-89.56,89.6,6.93
37,vanimo,24,PG,1540762345,100,-2.67,141.3,82.75,4.94
38,dikson,80,RU,1540762345,100,73.51,80.55,27.13,22.39
39,banfora,12,BF,1540762345,90,10.64,-4.75,74.47,3.15
40,faanui,0,PF,1540762345,100,-16.48,-151.75,81.13,7.96
41,awjilah,0,LY,1540762346,34,29.14,21.3,72.04,13.11
42,sur,76,OM,1540762346,100,22.57,59.53,79.6,5.06
43,cape town,90,ZA,1540760400,93,-33.93,18.42,62.6,10.29
44,dhidhdhoo,80,MV,1540762346,100,6.88,73.1,82.3,11.43
45,seoul,75,KR,1540760400,86,37.57,126.98,44.6,2.24
46,pisco,75,PE,1540760400,72,-13.71,-76.2,68.0,11.41
47,tomatlan,0,MX,1540762347,58,19.93,-105.25,86.98,4.72
48,port keats,0,AU,1540762347,93,-14.25,129.55,79.2,7.96
49,castro,92,CL,1540762348,97,-42.48,-73.76,55.08,7.74
50,lagunas,0,PE,1540762348,35,-5.23,-75.68,97.2,3.04
51,horsham,0,AU,1540762348,72,-36.71,142.2,47.29,8.75
52,yellowknife,90,CA,1540760400,86,62.45,-114.38,30.2,5.82
53,mar del plata,48,AR,1540762349,41,-46.43,-67.52,70.92,13.22
54,babstovo,36,RU,1540762144,89,48.12,132.48,19.57,2.82
